text,true,pred
yes mtv really way market daria started clever teenage angst- comment suck make viewer feel better sucky teenage life sitcom mutated deal problem -charade used watch daria time loved sitting watching called movie wonder point daria tell lead life college excuse did the_NEG point_NEG daria_NEG made_NEG every_NEG episode_NEG that_NEG what_NEG you_NEG like_NEG to_NEG do_NEG is_NEG ok_NEG long ok matter_NEG what_NEG the_NEG rest_NEG of_NEG the_NEG sick_NEG sad_NEG world_NEG think_NEG of_NEG it_NEG entire thing reminded scene reality bite movie channel show documentry time,negative,positive
little quentin mastered art having cake eating usual pure sadistic display explained clever thought-provoking way sending violence audience face sure mr tarantino violence baaad sadism baaad worth wading make point brilliant juvenile audience be_NEG clever_NEG enough_NEG to_NEG follow_NEG all_NEG the_NEG smart_NEG reference_NEG to_NEG higher_NEG level_NEG of_NEG consciousness_NEG though_NEG confident light day thanks making little world little better deserve medal,negative,positive
film listed having num the_NEG film_NEG which_NEG is_NEG available_NEG from_NEG something_NEG weird_NEG video_NEG in_NEG their_NEG ``_NEG driver_NEG 's_NEG ed_NEG scare_NEG film_NEG vol_NEG num thing num version color swv disc earlier version num film b w wlwt television channel num cincinnati way film notorious unlike driver ed film intended television broadcast viewing general public level carnage ratcheted pretty grim exercise exploitation bloody death purported educational intent live cincinnati area remember thing shown year prom time channel num looking film demonstrates tone uniquely american film phenomenon prom pretty typical - morose hyperbolic extremely didactic heavy melodrama really affected teenager driving guess,negative,positive
known brad linaweaver florida state u early num inspiring inventive writer thought headed greater glory rented video time been_NEG kind_NEG to_NEG mr_NEG linaweaver_NEG suppose pressure making living make higher aspiration expendable flower bloom come gone un-noticed summer breeze amen say add sad epitaph blossoming career stated price pay chasing shadow firm foundation goal oneself life movie goal_NEG purpose_NEG kept telling happened brad creativity shining genius gone gone year neglect deteriorated shining mind,negative,positive
order enjoy - imaginary portrait diane arbus stephen shainberg need viewer suspend reality prior knowledge american photographer diane arbus paradoxically use diane arbus knowledge life work set film fail grand scale apparent quite early casting beautiful waspish glamorous nicole kidman anti-glamorous jewish diane arbus shainberg did get_NEG arbus_NEG or_NEG what_NEG her_NEG work_NEG wa_NEG about_NEG (_NEG unsentimental_NEG realism_NEG )_NEG and_NEG seems_NEG only_NEG attracted_NEG to_NEG arbus_NEG on_NEG a_NEG superficial_NEG level_NEG through_NEG her_NEG photograph_NEG of_NEG circus_NEG freak_NEG follows kind pretty trivial beauty beast fantasy biopic robert downey jr kidman hairy fictional love the_NEG banality_NEG of_NEG the_NEG story_NEG that_NEG is_NEG the_NEG main_NEG flaw_NEG in_NEG this_NEG film_NEG director misogynistic stance diane arbus art world singular original woman photographer incapable forming idea work previous film study female masochism continued portrayal female submissive spoil film completely - fly face real life diane arbus courage tenacity fearlessness single-handedly exploring shady world outsider imagine imaginary biopic pop star madonna life guy richie svengali man career feel seriously flawed imaginary film work absolutely knowledge_NEG of_NEG the_NEG subject_NEG just choose ignore fact shame remove reference diane arbus film stood interesting study fetishism good companion piece secretary num num,negative,positive
quite fan michael chabon novel wonder boy fantastic movie curtis hanson masterful novel amazing adventure kavalier clay won pulitzer prize year hand script spider man num arguably greatest comic book movie time director rawson marshall thurber directed wonderful comedic piece gut-busting dodgeball genius short film series terry tate office linebacker cast including peter saarsgard sienna miller nick nolte mena suvari like no-brainer literally jon foster star art bechstein son mobster nolte recently graduated degree economics jon state arrested development work minimum wage job book barn vapid relationship phlox suvari amount little copious amount sex plan_NEG other_NEG than_NEG to_NEG chip_NEG away_NEG at_NEG a_NEG career_NEG for_NEG which_NEG he_NEG ha_NEG zero_NEG passion_NEG night party ex-roommate introduces jon jane miller beautiful smart violinist later night pie asks jon question begin shake catatonic state existence want tell told_NEG a_NEG single_NEG soul_NEG make night indelible jon tell reoccurring dream wanders town looking face stranger passing look eye imagine death feel like say day jane wild boyfriend cleveland saarsgard kidnaps jon work take hulking abandoned steel soon jon cleveland jane spending waking moment going punk rock concert doing drug drinking lot alcohol doe sit_NEG well_NEG with_NEG phlox_NEG push jon personal relationship letting meet new friend father film attempt jon journey shake shackle imposed father phlox dead-end job find freedom expression relationship cleveland jane problem having follow jon film completely uninteresting ambition_NEG passion goal walk life like invisible wraith described jane night met outset a_NEG problem_NEG get_NEG any_NEG more_NEG interesting_NEG completely passive character simply follows bohemian cleveland jane once_NEG give_NEG u_NEG any_NEG inkling_NEG a_NEG to_NEG what_NEG he_NEG care_NEG about_NEG or_NEG want_NEG to_NEG to_NEG do_NEG with_NEG himself_NEG consequently film supporting character little party sex argument word ado shallow skin good movie inside sweeping cinematography ponderous voice-over character staring distance lot sex scene straight gay big argument angry sex chase scene tragic death doe seem_NEG to_NEG matter_NEG ironically point jane confused number jon aimless action asks going jon yes jon tell audience dying know title mystery pittsburgh refer character facade one-dimensional stand-ins actual people film let_NEG u_NEG in_NEG know_NEG what_NEG make_NEG any_NEG of_NEG them_NEG tick_NEG lot thing know_NEG why_NEG absence worst thing movie,negative,positive
just ca believe_NEG some_NEG of_NEG the_NEG comment_NEG on_NEG this_NEG show_NEG just genius sure doe follow_NEG the_NEG tried_NEG and_NEG true_NEG consumer want thing thrust we_NEG have_NEG the_NEG option_NEG to_NEG sit_NEG back_NEG and_NEG enjoy_NEG something_NEG new_NEG once_NEG in_NEG a_NEG while_NEG style a_NEG realistic_NEG a_NEG previous_NEG ``_NEG scooby_NEG doo_NEG ''_NEG show_NEG supposed_NEG to_NEG be_NEG titled shaggy scooby doo clue title state entire beloved cast rendition constantly join action doe say solving mystery ca even_NEG stand_NEG monster_NEG actually glad long standing plot point work scooby-doo running joke clumsy hi-jinks quick-change outfit chase scene standard hallway gag scooby snack fact glad just love glad got rid rest team concentrated just main character villain sure ridiculous supposed sure different supposed supposed make laugh villain cheer idiotic robotic butler triumph intruding vermin matter_NEG what_NEG the_NEG size_NEG supposed running roobi-roo joke thing just a_NEG single_NEG thing_NEG i_NEG can_NEG think_NEG that_NEG is_NEG wrong_NEG with_NEG it_NEG writing acting animation notch title music awesome computer play clue boot background music just gripping,positive,negative
watched movie watching practical magic older film far superior liked way lighting makeup costume changed gillian changed story jimmy stewart mannerism did do_NEG a_NEG lot_NEG for_NEG me_NEG in_NEG this_NEG film_NEG suppose did serve highlight reserve gillian character struck nicky gillian mannerism -- director wanted appear effeminate gillian appear masculine gesture nicky make showing redlich power especially struck thought_NEG of_NEG warlock_NEG a_NEG being_NEG effeminate_NEG interesting way contrasting character,positive,negative
lady gentleman really got winner actually boy film hilarious entertaining horrible hoot stinker poor alma fetching julia ruiz suffering ancient mayan curse cause lethal poisonous snake grow inside body alma deranged shaman husband brujo alby castro feverishly overacts delicious eye-rolling intensity stowaway train bound los angeles naturally bunch deadly viper lose terrorize motley assortment passenger mallachi brother working absurd script eric fosberg treat ridiculous premise straight creating wonderfully wretched piece deliriously campy cheese cruddy cgi effect pathetically unfrightening common variety gardner snake would-be scary rattlesnake noise added soundtrack imbue faint sense nonexistent menace plodding pace total dearth tension momentum obvious rickety stage-bound train set especially simply astonishing got ta kiddin over-the-top preposterous ending downright awesome jaw-dropping awfulness better got game lame acting no-name cast nice smidgen tasty gratuitous female nudity funky score plenty extremely gross grotesque make-up bonus point fact token irritatingly cutesy little girl get eaten large reptile stoner engineer get caught smoking crack hollow light bulb absolute gut-buster kitsch howler,positive,negative
citizen kane godfather ii martin dolemite single greatest piece celluloid created unleashed humanity rudy ray moore role transcends academy award star dolemite baddest cat universe clearly doe take_NEG any_NEG jive_NEG from_NEG turkey_NEG (_NEG i_NEG myself_NEG am_NEG unfortunately_NEG a_NEG turkey_NEG )_NEG and_NEG prof_NEG it_NEG with_NEG his_NEG power_NEG of_NEG rapping_NEG pimping karate chopping blaxploitation absolute finest shining example genre low budget continuity error hatred rat-soup eating honkey expletive expletive true godfather rap this_NEG new_NEG ali_NEG nonsense_NEG )_NEG moore_NEG is_NEG something_NEG of_NEG a_NEG juxtaposition_NEG of_NEG acting_NEG technique_NEG managing charismatic awful actor num thats saying highly recommended folk for_NEG the_NEG one-liners_NEG alone_NEG,positive,negative
